symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
FMBI,"First Midwest Bancorp, Inc.",25.93,266e7,NA,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi,NASDAQ
FNWB,First Northwest Bancorp,17.04,20175e4,2015,Finance,Banks,http://www.nasdaq.com/symbol/fnwb,NASDAQ
FSFG,"First Savings Financial Group, Inc.",58,13059e4,NA,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fsfg,NASDAQ
FSLR,"First Solar, Inc.",70.44,736e7,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr,NASDAQ
FAAR,First Trust Alternative Absolute Return Strategy ETF,29.89,747e4,NA,NA,NA,http://www.nasdaq.com/symbol/faar,NASDAQ
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,37.7033,6221e4,NA,NA,NA,http://www.nasdaq.com/symbol/fpa,NASDAQ
BICK,First Trust BICK Index Fund,32.91,25505e4,NA,NA,NA,http://www.nasdaq.com/symbol/bick,NASDAQ
FBZ,First Trust Brazil AlphaDEX Fund,17.16,103e5,NA,NA,NA,http://www.nasdaq.com/symbol/fbz,NASDAQ
FTHI,First Trust BuyWrite Income ETF,23.89,5911e4,NA,NA,NA,http://www.nasdaq.com/symbol/fthi,NASDAQ
FCAL,First Trust California Municipal High income ETF,50.71,1014e4,NA,NA,NA,http://www.nasdaq.com/symbol/fcal,NASDAQ
FCAN,First Trust Canada AlphaDEX Fund,27.17,679e4,NA,NA,NA,http://www.nasdaq.com/symbol/fcan,NASDAQ
FTCS,First Trust Capital Strength ETF,54.22,72384e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftcs,NASDAQ
FCEF,First Trust CEF Income Opportunity ETF,22.5058,35e6,NA,NA,NA,http://www.nasdaq.com/symbol/fcef,NASDAQ
FCA,First Trust China AlphaDEX Fund,34.1209,853e4,NA,NA,NA,http://www.nasdaq.com/symbol/fca,NASDAQ
SKYY,First Trust Cloud Computing ETF,49.02,149e7,NA,NA,NA,http://www.nasdaq.com/symbol/skyy,NASDAQ
RNDM,First Trust Developed International Equity Select ETF,54.76,1369e4,NA,NA,NA,http://www.nasdaq.com/symbol/rndm,NASDAQ
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,66.52,97465e4,NA,NA,NA,http://www.nasdaq.com/symbol/fdt,NASDAQ
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,47.74,955e4,NA,NA,NA,http://www.nasdaq.com/symbol/fdts,NASDAQ
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,27.53,40744e4,NA,NA,NA,http://www.nasdaq.com/symbol/fvc,NASDAQ
FV,First Trust Dorsey Wright Focus 5 ETF,29.59,271e7,NA,NA,NA,http://www.nasdaq.com/symbol/fv,NASDAQ
IFV,First Trust Dorsey Wright International Focus 5 ETF,23.9793,97955e4,NA,NA,NA,http://www.nasdaq.com/symbol/ifv,NASDAQ
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,30.17,2866e4,NA,NA,NA,http://www.nasdaq.com/symbol/dwpp,NASDAQ
FEM,First Trust Emerging Markets AlphaDEX Fund,30.93,54437e4,NA,NA,NA,http://www.nasdaq.com/symbol/fem,NASDAQ
RNEM,First Trust Emerging Markets Equity Select ETF,59.0944,591e4,NA,NA,NA,http://www.nasdaq.com/symbol/rnem,NASDAQ
FEMB,First Trust Emerging Markets Local Currency Bond ETF,43.85,4824e4,NA,NA,NA,http://www.nasdaq.com/symbol/femb,NASDAQ
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,46.89,31885e4,NA,NA,NA,http://www.nasdaq.com/symbol/fems,NASDAQ
FTSM,First Trust Enhanced Short Maturity ETF,60.02,14e8,NA,NA,NA,http://www.nasdaq.com/symbol/ftsm,NASDAQ
FEP,First Trust Europe AlphaDEX Fund,41.95,79705e4,NA,NA,NA,http://www.nasdaq.com/symbol/fep,NASDAQ
FEUZ,First Trust Eurozone AlphaDEX ETF,48.04,5284e4,NA,NA,NA,http://www.nasdaq.com/symbol/feuz,NASDAQ
FGM,First Trust Germany AlphaDEX Fund,54.45,28042e4,NA,NA,NA,http://www.nasdaq.com/symbol/fgm,NASDAQ
FTGC,First Trust Global Tactical Commodity Strategy Fund,21.12,19543e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftgc,NASDAQ
FTLB,First Trust Hedged BuyWrite Income ETF,23.39,8189999.999999999,NA,NA,NA,http://www.nasdaq.com/symbol/ftlb,NASDAQ
HYLS,First Trust High Yield Long/Short ETF,48.69,123e7,NA,NA,NA,http://www.nasdaq.com/symbol/hyls,NASDAQ
FHK,First Trust Hong Kong AlphaDEX Fund,45.69,457e4,NA,NA,NA,http://www.nasdaq.com/symbol/fhk,NASDAQ
FTAG,First Trust Indxx Global Agriculture ETF,29.8476,716e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftag,NASDAQ
FTRI,First Trust Indxx Global Natural Resources Income ETF,13.1162,918e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftri,NASDAQ
LEGR,First Trust Indxx Innovative Transaction & Process ETF,30.07,NA,NA,NA,NA,http://www.nasdaq.com/symbol/legr,NASDAQ
FPXI,First Trust International IPO ETF,39.2,2548e4,NA,NA,NA,http://www.nasdaq.com/symbol/fpxi,NASDAQ
YDIV,First Trust International Multi-Asset Diversified Income Index,19.28,1542e4,NA,NA,NA,http://www.nasdaq.com/symbol/ydiv,NASDAQ
FJP,First Trust Japan AlphaDEX Fund,62.84,10054e4,NA,NA,NA,http://www.nasdaq.com/symbol/fjp,NASDAQ
FEX,First Trust Large Cap Core AlphaDEX Fund,62.13,157e7,NA,NA,NA,http://www.nasdaq.com/symbol/fex,NASDAQ
FTC,First Trust Large Cap Growth AlphaDEX Fund,65.92,75808e4,NA,NA,NA,http://www.nasdaq.com/symbol/ftc,NASDAQ
RNLC,First Trust Large Cap US Equity Select ETF,22.939,2065e4,NA,NA,NA,http://www.nasdaq.com/symbol/rnlc,NASDAQ
FTA,First Trust Large Cap Value AlphaDEX Fund,57.1,113e7,NA,NA,NA,http://www.nasdaq.com/symbol/fta,NASDAQ
FLN,First Trust Latin America AlphaDEX Fund,23.1282,1966e4,NA,NA,NA,http://www.nasdaq.com/symbol/fln,NASDAQ
LMBS,First Trust Low Duration Opportunities ETF,51.53,96103e4,NA,NA,NA,http://www.nasdaq.com/symbol/lmbs,NASDAQ
FMB,First Trust Managed Municipal ETF,53.09,30527e4,NA,NA,NA,http://www.nasdaq.com/symbol/fmb,NASDAQ
FMK,First Trust Mega Cap AlphaDEX Fund,36.1646,1627e4,NA,NA,NA,http://www.nasdaq.com/symbol/fmk,NASDAQ
FNX,First Trust Mid Cap Core AlphaDEX Fund,68.97,82074e4,NA,NA,NA,http://www.nasdaq.com/symbol/fnx,NASDAQ
FNY,First Trust Mid Cap Growth AlphaDEX Fund,41.89,14033e4,NA,NA,NA,http://www.nasdaq.com/symbol/fny,NASDAQ
RNMC,First Trust Mid Cap US Equity Select ETF,22.57,677e4,NA,NA,NA,http://www.nasdaq.com/symbol/rnmc,NASDAQ
FNK,First Trust Mid Cap Value AlphaDEX Fund,37.205,5395e4,NA,NA,NA,http://www.nasdaq.com/symbol/fnk,NASDAQ
FAD,First Trust Multi Cap Growth AlphaDEX Fund,69.7816,13259e4,NA,NA,NA,http://www.nasdaq.com/symbol/fad,NASDAQ
FAB,First Trust Multi Cap Value AlphaDEX Fund,58.83,10589e4,NA,NA,NA,http://www.nasdaq.com/symbol/fab,NASDAQ
MDIV,First Trust Multi-Asset Diversified Income Index Fund,19.35,79238e4,NA,NA,NA,http://www.nasdaq.com/symbol/mdiv,NASDAQ
MCEF,First Trust Municipal CEF Income Opportunity ETF,18.5196,1482e4,NA,NA,NA,http://www.nasdaq.com/symbol/mcef,NASDAQ
