id,date,close,earnings,ticker,exchange,initial_trend,position_label
1,11/2/2015,53.24,0,MSFT,US Equity,1,0
1,11/3/2015,54.15,0,MSFT,US Equity,1,0
1,11/4/2015,54.4,0,MSFT,US Equity,1,5
1,11/5/2015,54.38,0,MSFT,US Equity,1,5
1,11/6/2015,54.92,0,MSFT,US Equity,1,5
1,11/9/2015,54.16,0,MSFT,US Equity,1,5
1,11/10/2015,53.51,0,MSFT,US Equity,1,0
1,11/11/2015,53.65,0,MSFT,US Equity,1,0
1,11/12/2015,53.32,0,MSFT,US Equity,1,0
1,11/13/2015,52.84,0,MSFT,US Equity,1,0
1,11/16/2015,53.765,0,MSFT,US Equity,1,0
1,11/17/2015,52.97,0,MSFT,US Equity,1,0
1,11/18/2015,53.85,0,MSFT,US Equity,1,0
1,11/19/2015,53.94,0,MSFT,US Equity,1,0
1,11/20/2015,54.19,0,MSFT,US Equity,1,0
1,11/23/2015,54.19,0,MSFT,US Equity,1,0
1,11/24/2015,54.25,0,MSFT,US Equity,1,0
1,11/25/2015,53.69,0,MSFT,US Equity,1,0
1,11/27/2015,53.93,0,MSFT,US Equity,1,0
1,11/30/2015,54.35,0,MSFT,US Equity,1,0
1,12/1/2015,55.22,0,MSFT,US Equity,1,5
1,12/2/2015,55.21,0,MSFT,US Equity,1,5
1,12/3/2015,54.2,0,MSFT,US Equity,1,0
1,12/4/2015,55.91,0,MSFT,US Equity,1,5
1,12/7/2015,55.81,0,MSFT,US Equity,1,5
1,12/8/2015,55.79,0,MSFT,US Equity,1,5
1,12/9/2015,54.98,0,MSFT,US Equity,1,0
1,12/10/2015,55.27,0,MSFT,US Equity,1,0
1,12/11/2015,54.06,0,MSFT,US Equity,1,0
1,12/14/2015,55.14,0,MSFT,US Equity,1,0
1,12/15/2015,55.2,0,MSFT,US Equity,1,0
1,12/16/2015,56.13,0,MSFT,US Equity,1,0
1,12/17/2015,55.7,0,MSFT,US Equity,1,0
1,12/18/2015,54.13,0,MSFT,US Equity,1,0
1,12/21/2015,54.83,0,MSFT,US Equity,1,0
1,12/22/2015,55.35,0,MSFT,US Equity,1,0
1,12/23/2015,55.82,0,MSFT,US Equity,1,0
1,12/24/2015,55.67,0,MSFT,US Equity,1,0
1,12/28/2015,55.95,0,MSFT,US Equity,1,0
1,12/29/2015,56.55,0,MSFT,US Equity,1,0
1,12/30/2015,56.31,0,MSFT,US Equity,1,0
1,12/31/2015,55.48,0,MSFT,US Equity,1,0
1,1/4/2016,54.8,0,MSFT,US Equity,1,0
1,1/5/2016,55.05,0,MSFT,US Equity,1,0
1,1/6/2016,54.05,0,MSFT,US Equity,1,0
1,1/7/2016,52.17,0,MSFT,US Equity,1,0
1,1/8/2016,52.33,0,MSFT,US Equity,1,0
1,1/11/2016,52.3,0,MSFT,US Equity,1,0
1,1/12/2016,52.78,0,MSFT,US Equity,1,0
1,1/13/2016,51.64,0,MSFT,US Equity,1,0
1,1/14/2016,53.11,0,MSFT,US Equity,1,0
1,1/15/2016,50.99,0,MSFT,US Equity,1,0
1,1/19/2016,50.56,0,MSFT,US Equity,1,0
1,1/20/2016,50.79,0,MSFT,US Equity,1,0
1,1/21/2016,50.48,0,MSFT,US Equity,1,0
1,1/22/2016,52.29,0,MSFT,US Equity,1,0
1,1/25/2016,51.79,0,MSFT,US Equity,1,0
1,1/26/2016,52.17,0,MSFT,US Equity,1,0
1,1/27/2016,51.22,0,MSFT,US Equity,1,0
1,1/28/2016,52.055,1,MSFT,US Equity,1,0
1,1/29/2016,55.09,0,MSFT,US Equity,1,0
1,2/1/2016,54.71,0,MSFT,US Equity,1,0
1,2/2/2016,53,0,MSFT,US Equity,1,0
1,2/3/2016,52.16,0,MSFT,US Equity,1,0
1,2/4/2016,52,0,MSFT,US Equity,1,0
1,2/5/2016,50.16,0,MSFT,US Equity,1,0
1,2/8/2016,49.41,0,MSFT,US Equity,1,0
1,2/9/2016,49.28,0,MSFT,US Equity,1,0
1,2/10/2016,49.71,0,MSFT,US Equity,1,0
1,2/11/2016,49.69,0,MSFT,US Equity,1,0
1,2/12/2016,50.5,0,MSFT,US Equity,1,0
1,2/16/2016,51.09,0,MSFT,US Equity,1,0
1,2/17/2016,52.42,0,MSFT,US Equity,1,0
1,2/18/2016,52.19,0,MSFT,US Equity,1,0
1,2/19/2016,51.82,0,MSFT,US Equity,1,0
1,2/22/2016,52.65,0,MSFT,US Equity,1,0
1,2/23/2016,51.18,0,MSFT,US Equity,1,0
1,2/24/2016,51.36,0,MSFT,US Equity,1,0
1,2/25/2016,52.1,0,MSFT,US Equity,1,0
1,2/26/2016,51.3,0,MSFT,US Equity,1,0
1,2/29/2016,50.88,0,MSFT,US Equity,1,0
1,3/1/2016,52.58,0,MSFT,US Equity,1,0
1,3/2/2016,52.95,0,MSFT,US Equity,1,0
1,3/3/2016,52.35,0,MSFT,US Equity,1,0
1,3/4/2016,52.03,0,MSFT,US Equity,1,0
1,3/7/2016,51.03,0,MSFT,US Equity,1,0
1,3/8/2016,51.65,0,MSFT,US Equity,1,0
1,3/9/2016,52.84,0,MSFT,US Equity,1,0
1,3/10/2016,52.05,0,MSFT,US Equity,1,0
1,3/11/2016,53.07,0,MSFT,US Equity,1,0
1,3/14/2016,53.17,0,MSFT,US Equity,1,0
1,3/15/2016,53.59,0,MSFT,US Equity,1,0
1,3/16/2016,54.35,0,MSFT,US Equity,1,0
1,3/17/2016,54.66,0,MSFT,US Equity,1,0
1,3/18/2016,53.49,0,MSFT,US Equity,1,0
1,3/21/2016,53.86,0,MSFT,US Equity,1,0
1,3/22/2016,54.07,0,MSFT,US Equity,1,0
1,3/23/2016,53.97,0,MSFT,US Equity,1,0
1,3/24/2016,54.21,0,MSFT,US Equity,1,0
1,3/28/2016,53.54,0,MSFT,US Equity,1,0
1,3/29/2016,54.71,0,MSFT,US Equity,1,0
1,3/30/2016,55.05,0,MSFT,US Equity,1,0
1,3/31/2016,55.23,0,MSFT,US Equity,1,0
1,4/1/2016,55.57,0,MSFT,US Equity,1,0
1,4/4/2016,55.43,0,MSFT,US Equity,1,0
1,4/5/2016,54.56,0,MSFT,US Equity,1,0
1,4/6/2016,55.12,0,MSFT,US Equity,1,0
1,4/7/2016,54.46,0,MSFT,US Equity,1,0
1,4/8/2016,54.42,0,MSFT,US Equity,1,0
1,4/11/2016,54.31,0,MSFT,US Equity,1,0
1,4/12/2016,54.65,0,MSFT,US Equity,1,0
1,4/13/2016,55.35,0,MSFT,US Equity,1,0
1,4/14/2016,55.36,0,MSFT,US Equity,1,0
1,4/15/2016,55.65,0,MSFT,US Equity,1,0
1,4/18/2016,56.46,0,MSFT,US Equity,1,0
1,4/19/2016,56.39,0,MSFT,US Equity,1,0
1,4/20/2016,55.59,0,MSFT,US Equity,1,0
1,4/21/2016,55.78,1,MSFT,US Equity,1,0
1,4/22/2016,51.78,0,MSFT,US Equity,1,0
1,4/25/2016,52.11,0,MSFT,US Equity,1,0
1,4/26/2016,51.44,0,MSFT,US Equity,1,0
1,4/27/2016,50.94,0,MSFT,US Equity,1,0
1,4/28/2016,49.9,0,MSFT,US Equity,1,0
1,4/29/2016,49.87,0,MSFT,US Equity,1,0
1,5/2/2016,50.61,0,MSFT,US Equity,1,0
1,5/3/2016,49.78,0,MSFT,US Equity,1,0
1,5/4/2016,49.87,0,MSFT,US Equity,1,0
1,5/5/2016,49.94,0,MSFT,US Equity,1,0
1,5/6/2016,50.39,0,MSFT,US Equity,1,0
1,5/9/2016,50.07,0,MSFT,US Equity,1,0
1,5/10/2016,51.02,0,MSFT,US Equity,1,0
1,5/11/2016,51.05,0,MSFT,US Equity,1,0
1,5/12/2016,51.51,0,MSFT,US Equity,1,0
1,5/13/2016,51.08,0,MSFT,US Equity,1,0
1,5/16/2016,51.83,0,MSFT,US Equity,1,0
1,5/17/2016,50.51,0,MSFT,US Equity,1,0
1,5/18/2016,50.81,0,MSFT,US Equity,1,0
1,5/19/2016,50.32,0,MSFT,US Equity,1,0
1,5/20/2016,50.62,0,MSFT,US Equity,1,0
1,5/23/2016,50.03,0,MSFT,US Equity,1,0
1,5/24/2016,51.59,0,MSFT,US Equity,1,0
1,5/25/2016,52.12,0,MSFT,US Equity,1,0
1,5/26/2016,51.89,0,MSFT,US Equity,1,0
1,5/27/2016,52.32,0,MSFT,US Equity,1,0
1,5/31/2016,53,0,MSFT,US Equity,1,0
1,6/1/2016,52.85,0,MSFT,US Equity,1,0
1,6/2/2016,52.48,0,MSFT,US Equity,1,0
1,6/3/2016,51.79,0,MSFT,US Equity,1,0
1,6/6/2016,52.13,0,MSFT,US Equity,1,0
1,6/7/2016,52.1,0,MSFT,US Equity,1,0
1,6/8/2016,52.04,0,MSFT,US Equity,1,0
1,6/9/2016,51.62,0,MSFT,US Equity,1,0
1,6/10/2016,51.48,0,MSFT,US Equity,1,0
1,6/13/2016,50.14,0,MSFT,US Equity,1,0
1,6/14/2016,49.83,0,MSFT,US Equity,1,0
1,6/15/2016,49.69,0,MSFT,US Equity,1,0
1,6/16/2016,50.39,0,MSFT,US Equity,1,0
1,6/17/2016,50.13,0,MSFT,US Equity,1,0
1,6/20/2016,50.07,0,MSFT,US Equity,1,0
1,6/21/2016,51.19,0,MSFT,US Equity,1,0
1,6/22/2016,50.99,0,MSFT,US Equity,1,0
