symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
MANU,Manchester United Ltd.,19.55,321e7,2012,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/manu,NYSE
MTW,"Manitowoc Company, Inc. (The)",39.3,138e7,NA,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/mtw,NYSE
MN,"Manning & Napier, Inc.",3.45,5189e4,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/mn,NYSE
MAN,ManpowerGroup,124.82,827e7,NA,Technology,Professional Services,http://www.nasdaq.com/symbol/man,NYSE
MFC,Manulife Financial Corp,20.73,4108e7,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/mfc,NYSE
MRO,Marathon Oil Corporation,15.01,1275e7,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mro,NYSE
MPC,Marathon Petroleum Corporation,65.75,3211e7,NA,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc,NYSE
MMI,"Marcus & Millichap, Inc.",31.15,119e7,2013,Finance,Real Estate,http://www.nasdaq.com/symbol/mmi,NYSE
MCS,Marcus Corporation (The),28.2,78506e4,NA,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/mcs,NYSE
MRIN,Marin Software Incorporated,11.35,6416e4,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/mrin,NYSE
MPX,Marine Products Corporation,15.31,532429999.99999994,NA,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mpx,NYSE
HZO,"MarineMax, Inc.",20.45,48539e4,1998,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/hzo,NYSE
MKL,Markel Corporation,1147.1,1594e7,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mkl,NYSE
VAC,Marriot Vacations Worldwide Corporation,131.6,349e7,NA,Finance,Real Estate,http://www.nasdaq.com/symbol/vac,NYSE
MMC,"Marsh & McLennan Companies, Inc.",83.11,4242e7,NA,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/mmc,NYSE
MLM,"Martin Marietta Materials, Inc.",204.44,1285e7,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm,NYSE
MAS,Masco Corporation,42.31,1331e7,NA,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas,NYSE
DOOR,Masonite International Corporation,71.25,2029999999.9999998,NA,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/door,NYSE
MTZ,"MasTec, Inc.",46.2,382e7,NA,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/mtz,NYSE
MA,Mastercard Incorporated,153.4,1701e8,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ma,NYSE
MTDR,Matador Resources Company,26.65,289e7,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtdr,NYSE
MTRN,Materion Corporation,48.4,9701e5,NA,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/mtrn,NYSE
MATX,"Matson, Inc.",28.81,122e7,NA,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/matx,NYSE
MLP,"Maui Land & Pineapple Company, Inc.",15.9,30384e4,NA,Finance,Real Estate,http://www.nasdaq.com/symbol/mlp,NYSE
MAXR,Maxar Technologies Ltd.,65.15,366e7,NA,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/maxr,NYSE
MMS,"Maximus, Inc.",71.32,465e7,1997,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mms,NYSE
MXL,"MaxLinear, Inc",25.56,171e7,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxl,NYSE
MBI,"MBIA, Inc.",7.69,70577e4,1987,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mbi,NYSE
MKC,"McCormick & Company, Incorporated",101.43,1329e7,NA,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mkc,NYSE
MKC.V,"McCormick & Company, Incorporated",NA,NA,NA,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mkc.v,NYSE
MDR,"McDermott International, Inc.",7.43,2109999999.9999998,NA,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mdr,NYSE
MCD,McDonald&#39;s Corporation,174.06,13876e7,NA,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/mcd,NYSE
MUX,McEwen Mining Inc.,2.09,69601e4,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mux,NYSE
MCK,McKesson Corporation,162.6,339e8,NA,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/mck,NYSE
MDU,"MDU Resources Group, Inc.",26.91,526e7,NA,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mdu,NYSE
MTL,Mechel PAO,4.22,87833e4,2004,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/mtl,NYSE
MTL^,Mechel PAO,0.97,NA,NA,NA,NA,http://www.nasdaq.com/symbol/mtl^,NYSE
