symbol,name,exchange
ACQ,AutoCanada Inc.,TSX
APR.UN,Automotive Properties Real Estate Investment Trust,TSX
AVL,Avalon Advanced Materials Inc.,TSX
AVP,Avcorp Industries Inc.,TSX
ASO,Avesoro Resources Inc.,TSX
AVO,Avigilon Corporation,TSX
ASM,Avino Silver & Gold Mines Ltd.,TSX
ASM.WT,Avino Silver & Gold Mines Ltd.,TSX
AZZ,Azarga Uranium Corp.,TSX
ABX,Barrick Gold Corporation,TSX
ADC.UN,First Asset Canadian Convertibles Fund,TSX
AUMN,Golden Minerals Company,TSX
AAR.UN,Pure Industrial Real Estate Trust,TSX
AV.UN,Redwood Advantage Monthly Income Fund,TSX
AOG.UN,Redwood Energy Income Fund,TSX
BTO,B2Gold Corp.,TSX
BAD,Badger Daylighting Ltd.,TSX
BLDP,Ballard Power Systems Inc.,TSX
BAR,Balmoral Resources Ltd.,TSX
BMO,Bank of Montreal,TSX
BMO.PR.A,Bank of Montreal,TSX
BMO.PR.B,Bank of Montreal,TSX
BMO.PR.C,Bank of Montreal,TSX
BMO.PR.D,Bank of Montreal,TSX
BMO.PR.M,Bank of Montreal,TSX
BMO.PR.Q,Bank of Montreal,TSX
BMO.PR.R,Bank of Montreal,TSX
BMO.PR.S,Bank of Montreal,TSX
BMO.PR.T,Bank of Montreal,TSX
BMO.PR.W,Bank of Montreal,TSX
BMO.PR.Y,Bank of Montreal,TSX
BMO.PR.Z,Bank of Montreal,TSX
BNS,Bank of Nova Scotia (The),TSX
BNS.PR.A,Bank of Nova Scotia (The),TSX
BNS.PR.B,Bank of Nova Scotia (The),TSX
BNS.PR.C,Bank of Nova Scotia (The),TSX
BNS.PR.D,Bank of Nova Scotia (The),TSX
BNS.PR.E,Bank of Nova Scotia (The),TSX
BNS.PR.F,Bank of Nova Scotia (The),TSX
BNS.PR.G,Bank of Nova Scotia (The),TSX
BNS.PR.H,Bank of Nova Scotia (The),TSX
BNS.PR.P,Bank of Nova Scotia (The),TSX
BNS.PR.Q,Bank of Nova Scotia (The),TSX
BNS.PR.R,Bank of Nova Scotia (The),TSX
BNS.PR.Y,Bank of Nova Scotia (The),TSX
BNS.PR.Z,Bank of Nova Scotia (The),TSX
BXS.DB.C,Barclays Bank PLC Fixed Income Notes,TSX
BYL,Baylin Technologies Inc.,TSX
BTE,Baytex Energy Corp.,TSX
BCE,BCE Inc.,TSX
BCE.PR.A,BCE Inc.,TSX
BCE.PR.B,BCE Inc.,TSX
BCE.PR.C,BCE Inc.,TSX
BCE.PR.D,BCE Inc.,TSX
BCE.PR.E,BCE Inc.,TSX
BCE.PR.F,BCE Inc.,TSX
BCE.PR.G,BCE Inc.,TSX
BCE.PR.H,BCE Inc.,TSX
BCE.PR.I,BCE Inc.,TSX
BCE.PR.J,BCE Inc.,TSX
BCE.PR.K,BCE Inc.,TSX
BCE.PR.L,BCE Inc.,TSX
BCE.PR.M,BCE Inc.,TSX
BCE.PR.N,BCE Inc.,TSX
BCE.PR.O,BCE Inc.,TSX
BCE.PR.Q,BCE Inc.,TSX
BCE.PR.R,BCE Inc.,TSX
BCE.PR.S,BCE Inc.,TSX
BCE.PR.T,BCE Inc.,TSX
BCE.PR.Y,BCE Inc.,TSX
BCE.PR.Z,BCE Inc.,TSX
BEK.B,Becker Milk Company Ltd. (The),TSX
BXE,Bellatrix Exploration Ltd.,TSX
BXE.DB,Bellatrix Exploration Ltd.,TSX
BLU,BELLUS Health Inc.,TSX
BSX,Belo Sun Mining Corp.,TSX
BNG,Bengal Energy Ltd.,TSX
HGD,BetaPro Canadian Gold Miners -2x Daily Bear ETF,TSX
HGU,BetaPro Canadian Gold Miners 2x Daily Bull ETF,TSX
HOD,BetaPro Crude Oil -2x Daily Bear ETF,TSX
HOU,BetaPro Crude Oil 2x Daily Bull ETF,TSX
HBD,BetaPro Gold Bullion -2x Daily Bear ETF,TSX
HBU,BetaPro Gold Bullion 2x Daily Bull ETF,TSX
HQD,BetaPro NASDAQ-100 -2x Daily Bear ETF,TSX
HQU,BetaPro NASDAQ-100 2x Daily Bull ETF,TSX
HND,BetaPro Natural Gas -2x Daily Bear ETF,TSX
HNU,BetaPro Natural Gas 2x Daily Bull ETF,TSX
HSD,BetaPro S&P 500 -2x Daily Bear ETF,TSX
HSU,BetaPro S&P 500 2x Daily Bull ETF,TSX
HIU,BetaPro S&P 500 Daily Inverse ETF,TSX
HVU,BetaPro S&P 500 VIX Short-Term Futures 2x Daily Bull ETF,TSX
HVI,BetaPro S&P 500 VIX Short-Term Futures Daily Inverse ETF,TSX
HUV,BetaPro S&P 500 VIX Short-Term Futures ETF,TSX
HXD,BetaPro S&P/TSX 60 -2x Daily Bear ETF,TSX
HXU,BetaPro S&P/TSX 60 2x Daily Bull ETF,TSX
HIX,BetaPro S&P/TSX 60 Daily Inverse ETF,TSX
HED,BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,TSX
HEU,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,TSX
HFD,BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF,TSX
HFU,BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF,TSX
HZD,BetaPro Silver -2x Daily Bear ETF,TSX
HZU,BetaPro Silver 2x Daily Bull ETF,TSX
BIG.D,Big 8 Split Inc.,TSX
BIG.PR.D,Big 8 Split Inc.,TSX
PRM,Big Pharma Split Corp.,TSX
PRM.PR.A,Big Pharma Split Corp.,TSX
BR,Big Rock Brewery Inc.,TSX
BIOA,BioAmber Inc.,TSX
BIR,Birchcliff Energy Ltd.,TSX
BIR.PR.A,Birchcliff Energy Ltd.,TSX
BIR.PR.C,Birchcliff Energy Ltd.,TSX
BDT,Bird Construction Inc.,TSX
BDI,Black Diamond Group Limited,TSX
BKI,Black Iron Inc.,TSX
BB,BlackBerry Limited,TSX
BB.DB.V,BlackBerry Limited,TSX
PXX,BlackPearl Resources Inc.,TSX
HBLK,Blockchain Technologies ETF,TSX
BLB.UN,Bloom Select Income Fund,TSX
BUA.UN,Bloom U.S. Income & Growth Fund,TSX
RBN.UN,Blue Ribbon Income Fund,TSX
ZAG,BMO Aggregate Bond Index ETF,TSX
ZDV,BMO Canadian Dividend ETF,TSX
ZWC,BMO Canadian High Dividend Covered Call ETF,TSX
ZCH,BMO China Equity Index ETF,TSX
ZWB,BMO Covered Call Canadian Banks ETF,TSX
ZWA,BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF,TSX
ZWU,BMO Covered Call Utilities ETF,TSX
ZDB,BMO Discount Bond Index ETF,TSX
ZDJ,BMO Dow Jones Industrial Average Hedged to CAD Index ETF,TSX
ZEF,BMO Emerging Markets Bond Hedged to CAD Index ETF,TSX
ZEB,BMO Equal Weight Banks Index ETF,TSX
ZMT,BMO Equal Weight Global Base Metals Hedged to CAD Index ETF,TSX
ZGD,BMO Equal Weight Global Gold Index ETF,TSX
ZIN,BMO Equal Weight Industrials Index ETF,TSX
ZEO,BMO Equal Weight Oil & Gas Index ETF,TSX
ZRE,BMO Equal Weight REITs Index ETF,TSX
ZUB,BMO Equal Weight US Banks Hedged to CAD Index ETF,TSX
ZBK,BMO Equal Weight US Banks Index ETF,TSX
ZUH,BMO Equal Weight US Health Care Hedged to CAD Index ETF,TSX
ZUT,BMO Equal Weight Utilities Index ETF,TSX
ZWE,BMO Europe High Dividend Covered Call Hedged to CAD ETF,TSX
ZFH,BMO Floating Rate High Yield ETF,TSX
BANK,BMO Global Banks Hedged to CAD Index ETF,TSX
DISC,BMO Global Consumer Discretionary Hedged to CAD Index ETF,TSX
STPL,BMO Global Consumer Staples Hedged to CAD Index ETF,TSX
ZGI,BMO Global Infrastructure Index ETF,TSX
INSR,BMO Global Insurance Hedged to CAD Index ETF,TSX
ZHY,BMO High Yield US Corporate Bond Hedged to CAD Index ETF,TSX
ZJK,BMO High Yield US Corporate Bond Index ETF,TSX
ZID,BMO India Equity Index ETF,TSX
ZDI,BMO International Dividend ETF,TSX
ZDH,BMO International Dividend Hedged to CAD ETF,TSX
