symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
GOOG,Alphabet Inc.,1064.19,7394e8,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,NASDAQ
GOOGL,Alphabet Inc.,1072,74483e7,NA,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,NASDAQ
AABA,Altaba Inc.,70.29,6139e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba,NASDAQ
ALTR,Altair Engineering Inc.,21.26,134e7,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/altr,NASDAQ
AIMC,Altra Industrial Motion Corp.,47,138e7,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,NASDAQ
AMZN,"Amazon.com, Inc.",1179.14,56819e7,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,NASDAQ
AMBA,"Ambarella, Inc.",56.51,188e7,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,NASDAQ
AMCX,AMC Networks Inc.,55.33,342e7,NA,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,NASDAQ
DOX,Amdocs Limited,65.58,953e7,NA,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,NASDAQ
AMED,Amedisys Inc,55.31,188e7,NA,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,NASDAQ
UHAL,Amerco,377.68,741e7,NA,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,NASDAQ
AMOV,"America Movil, S.A.B. de C.V.",17.09,5645e7,NA,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,NASDAQ
AAL,"American Airlines Group, Inc.",51.06,2443e7,NA,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,NASDAQ
ANAT,American National Insurance Company,122.33,329e7,NA,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,NASDAQ
AMWD,American Woodmark Corporation,124.4,2e9,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,NASDAQ
ABCB,Ameris Bancorp,48.3,18e8,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,NASDAQ
AMSF,"AMERISAFE, Inc.",61.65,119e7,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,NASDAQ
AMGN,Amgen Inc.,177.04,128520000000.00002,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,NASDAQ
FOLD,"Amicus Therapeutics, Inc.",12.85,2140000000.0000002,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,NASDAQ
AMKR,"Amkor Technology, Inc.",10.54,252e7,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,NASDAQ
AFSI,"AmTrust Financial Services, Inc.",10.2,2e9,NA,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,NASDAQ
