name,symbol,market_cap,earnings_date,fiscal_quarter,consensus_eps,number_ests,last_year_earnings_date,last_year_eps,earnings_type
Star Bulk Carriers Corp.,SBLK,6722e5,2018-02-28,Dec 2017,0.22,4,2017-02-22,-0.3,estimated
"Summit Materials, Inc.",SUM,33e8,2018-02-28,Dec 2017,0.25,5,2017-02-22,0.21,estimated
"tronc, Inc.",TRNC,72405e4,2018-02-28,Dec 2017,0.55,1,2017-02-22,0.66,estimated
Ultra Petroleum Corp.,UPL,105e7,2018-02-28,Dec 2017,0.34,2,NA,0.42,estimated
United Therapeutics Corporation,UTHR,571e7,2018-02-28,Dec 2017,3.99,5,2017-02-22,2.43,estimated
Vista Gold Corporation,VGZ,833e5,2018-02-28,Dec 2017,NA,0,2017-02-22,-0.03,estimated
"Wolverine World Wide, Inc.",WWW,305e7,2018-02-28,Dec 2017,0.41,7,2017-02-22,0.33,estimated
"AcelRx Pharmaceuticals, Inc.",ACRX,9313e4,2018-03-01,Dec 2017,-0.22,2,2017-03-02,-0.21,estimated
"ACM Research, Inc.",ACMR,10404e4,2018-03-01,Dec 2017,0.13,1,NA,NA,estimated
Advantage Oil & Gas Ltd,AAV,59508e4,2018-03-01,Dec 2017,0.04,1,2017-03-02,0.04,estimated
Altair Engineering Inc.,ALTR,167e7,2018-03-01,Dec 2017,0.06,3,NA,NA,estimated
Ambev S.A.,ABEV,10274e7,2018-03-01,Dec 2017,0.1,1,2017-03-02,0.08,estimated
"Ameresco, Inc.",AMRC,37768e4,2018-03-01,Dec 2017,0.13,2,2017-03-02,0.08,estimated
American Outdoor Brands Corporation,AOBC,58119e4,2018-03-01,Jan 2018,0.09,4,2017-03-02,0.66,estimated
"Amyris, Inc.",AMRS,21388e4,2018-03-01,Dec 2017,0.04,3,2017-03-02,-1.5,estimated
"ANI Pharmaceuticals, Inc.",ANIP,69119e4,2018-03-01,Dec 2017,1.02,2,2017-03-02,0.82,estimated
"Assembly Biosciences, Inc.",ASMB,78916e4,2018-03-01,Dec 2017,-0.79,3,NA,-0.67,estimated
Autohome Inc.,ATHM,871e7,2018-03-01,Dec 2017,0.75,1,2017-03-02,0.47,estimated
"Barnes & Noble, Inc.",BKS,36029e4,2018-03-01,Jan 2018,NA,0,2017-03-02,0.96,estimated
"Burlington Stores, Inc.",BURL,801e7,2018-03-01,Jan 2018,2.08,8,2017-03-02,1.78,estimated
"CHF Solutions, Inc.",CHFS,604e4,2018-03-01,Dec 2017,NA,0,2017-03-02,-92.8,estimated
"Chimerix, Inc.",CMRX,23234e4,2018-03-01,Dec 2017,-0.48,6,2017-03-02,-0.32,estimated
"Cloudera, Inc.",CLDR,253e7,2018-03-01,Jan 2018,-0.44,2,NA,NA,estimated
CTI BioPharma Corp.,CTIC,12981e4,2018-03-01,Dec 2017,-0.3,1,2017-03-02,-0.23,estimated
"CytomX Therapeutics, Inc.",CTMX,108e7,2018-03-01,Dec 2017,-0.39,5,2017-03-02,-0.39,estimated
Dawson Geophysical Company,DWSN,13487e4,2018-03-01,Dec 2017,-0.28,1,2017-03-02,-0.33,estimated
"Easterly Government Properties, Inc.",DEA,86607e4,2018-03-01,Dec 2017,0.32,3,2017-03-02,0.31,estimated
"Edge Therapeutics, Inc.",EDGE,4166e5,2018-03-01,Dec 2017,-0.47,1,2017-03-02,-0.33,estimated
Endeavour Silver Corporation,EXK,2792e5,2018-03-01,Dec 2017,0.01,3,2017-03-02,-0.04,estimated
Entravision Communications Corporation,EVC,58053e4,2018-03-01,Dec 2017,-0.02,1,2017-03-02,0.08,estimated
Fidus Investment Corporation,FDUS,34364e4,2018-03-01,Dec 2017,0.37,3,2017-03-02,0.39,estimated
GDS Holdings Limited,GDS,301e7,2018-03-01,Dec 2017,-0.1,1,2017-03-02,-0.22,estimated
"Guidewire Software, Inc.",GWRE,588e7,2018-03-01,Jan 2018,0,4,2017-03-02,0.08,estimated
"I.D. Systems, Inc.",IDSY,13407e4,2018-03-01,Dec 2017,-0.01,1,2017-03-02,-0.09,estimated
"J. Alexander's Holdings, Inc.",JAX,14328e4,2018-03-01,Dec 2017,NA,0,2017-03-02,0.19,estimated
"JD.com, Inc.",JD,6321e7,2018-03-01,Dec 2017,-0.03,3,2017-03-02,-0.18,estimated
Kroger Company (The),KR,2547e7,2018-03-01,Jan 2018,0.61,8,2017-03-02,0.53,estimated
"KVH Industries, Inc.",KVHI,18137e4,2018-03-01,Dec 2017,0.13,1,2017-03-02,0.08,estimated
Marvell Technology Group Ltd.,MRVL,1058e7,2018-03-01,Jan 2018,0.27,11,2017-03-02,0.18,estimated
Merchants Bancorp,MBIN,58403e4,2018-03-01,Dec 2017,0.38,2,NA,NA,estimated
"Methode Electronics, Inc.",MEI,151e7,2018-03-01,Jan 2018,0.66,3,2017-03-02,0.63,estimated
"MidWestOne Financial Group, Inc.",MOFG,39738e4,2018-03-01,Dec 2017,0.64,1,NA,0.36,estimated
"National Vision Holdings, Inc.",EYE,282e7,2018-03-01,Dec 2017,0,3,NA,NA,estimated
"Nutanix, Inc.",NTNX,522e7,2018-03-01,Jan 2018,-0.47,4,2017-03-02,-0.53,estimated
"Otonomy, Inc.",OTIC,16989e4,2018-03-01,Dec 2017,-0.67,3,2017-03-02,-0.88,estimated
OvaScience Inc.,OVAS,3362e4,2018-03-01,Dec 2017,-0.29,3,2017-03-02,-0.64,estimated
"Paratek Pharmaceuticals, Inc.",PRTK,38559e4,2018-03-01,Dec 2017,-0.72,4,2017-03-02,-1.16,estimated
Pointer Telocation Ltd.,PNTR,13698e4,2018-03-01,Dec 2017,0.22,3,2017-03-02,0.2,estimated
Regulus Therapeutics Inc.,RGLS,12059e4,2018-03-01,Dec 2017,-0.17,4,2017-03-02,-0.38,estimated
RMG Networks Holding Corporation,RMGN,1194e4,2018-03-01,Dec 2017,-0.15,1,NA,NA,estimated
"Safeguard Scientifics, Inc.",SFE,2572e5,2018-03-01,Dec 2017,-1.05,1,2017-03-02,-1.07,estimated
SeaSpine Holdings Corporation,SPNE,13657e4,2018-03-01,Dec 2017,-0.52,2,2017-03-02,-0.87,estimated
"Senomyx, Inc.",SNMX,5209e4,2018-03-01,Dec 2017,-0.06,1,2017-03-02,-0.08,estimated
"Sequential Brands Group, Inc.",SQBG,9915e4,2018-03-01,Dec 2017,0.14,1,2017-03-02,-0.02,estimated
"Sierra Oncology, Inc.",SRRA,15427e4,2018-03-01,Dec 2017,-0.2,3,2017-03-02,-0.3,estimated
"Spark Energy, Inc.",SPKE,33765e4,2018-03-01,Dec 2017,0.31,1,2017-03-02,0.52,estimated
St. Joe Company (The),JOE,119e7,2018-03-01,Dec 2017,NA,0,2017-03-02,0.04,estimated
STAAR Surgical Company,STAA,63805e4,2018-03-01,Dec 2017,0.03,1,2017-03-02,0.01,estimated
"Stage Stores, Inc.",SSI,4752e4,2018-03-01,Jan 2018,NA,0,2017-03-02,0.2,estimated
"Superior Industries International, Inc.",SUP,39105e4,2018-03-01,Dec 2017,0.33,3,2017-03-02,0.31,estimated
"Syndax Pharmaceuticals, Inc.",SNDX,24975e4,2018-03-01,Dec 2017,-0.85,3,2017-03-02,-0.59,estimated
"Synthetic Biologics, Inc",SYN,5657e4,2018-03-01,Dec 2017,-0.05,2,2017-03-02,-0.02,estimated
"The Cooper Companies, Inc.",COO,113e8,2018-03-01,Jan 2018,2.52,9,2017-03-02,1.93,estimated
"The Habit Restaurants, Inc.",HABT,22121e4,2018-03-01,Dec 2017,-0.01,6,2017-03-02,0.07,estimated
TICC Capital Corp.,TICC,28417e4,2018-03-01,Dec 2017,0.13,1,2017-03-02,0.14,estimated
Triple-S Management Corporation,GTS,58226e4,2018-03-01,Dec 2017,0.27,1,2017-03-02,0.14,estimated
"UFP Technologies, Inc.",UFPT,20786e4,2018-03-01,Dec 2017,0.23,1,2017-03-02,0.2,estimated
"WhiteHorse Finance, Inc.",WHF,25357e4,2018-03-01,Dec 2017,0.33,2,2017-03-02,0.35,estimated
"Yext, Inc.",YEXT,103e7,2018-03-01,Jan 2018,-0.17,3,NA,NA,estimated
"America First Multifamily Investors, L.P.",ATAX,37056e4,2018-03-02,Dec 2017,0.06,1,2017-03-03,0.09,estimated
Arbor Realty Trust,ABR,49732e4,2018-03-02,Dec 2017,0.2,1,2017-03-03,0.21,estimated
"Big Lots, Inc.",BIG,244e7,2018-03-02,Jan 2018,2.42,9,2017-03-03,2.26,estimated
"BioScrip, Inc.",BIOS,38637e4,2018-03-02,Dec 2017,-0.08,1,2017-03-03,-0.08,estimated
CGG,CGG,28314e4,2018-03-02,Dec 2017,NA,0,2017-03-03,-12.61,estimated
Cytosorbents Corporation,CTSO,20658e4,2018-03-02,Dec 2017,-0.1,3,2017-03-03,-0.16,estimated
Ecopetrol S.A.,EC,3487e7,2018-03-02,Dec 2017,0.26,3,NA,0.03,estimated
Five Star Senior Living Inc.,FVE,7507e4,2018-03-02,Dec 2017,-0.1,1,2017-03-03,-0.12,estimated
"Lexicon Pharmaceuticals, Inc.",LXRX,103e7,2018-03-02,Dec 2017,-0.43,4,2017-03-03,-0.31,estimated
"Lilis Energy, Inc.",LLEX,19589e4,2018-03-02,Dec 2017,-0.09,5,NA,-1.15,estimated
Middlesex Water Company,MSEX,59843e4,2018-03-02,Dec 2017,0.33,1,2017-03-03,0.19,estimated
POSCO,PKX,2692e7,2018-03-02,Dec 2017,NA,0,2017-03-03,0.42,estimated
"Reata Pharmaceuticals, Inc.",RETA,NA,2018-03-02,Dec 2017,-0.58,6,2017-03-03,-0.19,estimated
"Revlon, Inc.",REV,109e7,2018-03-02,Dec 2017,-1.25,1,2017-03-03,0.43,estimated
Ur Energy Inc,URG,9818e4,2018-03-02,Dec 2017,-0.02,2,2017-03-03,0,estimated
WPP plc,WPP,221e8,2018-03-02,Dec 2017,NA,0,NA,NA,estimated
Addus HomeCare Corporation,ADUS,42805e4,2018-03-05,Dec 2017,0.38,2,2017-03-06,0.44,estimated
"Adverum Biotechnologies, Inc.",ADVM,31979e4,2018-03-05,Dec 2017,-0.35,2,2017-03-06,-0.27,estimated
"Air Transport Services Group, Inc",ATSG,139e7,2018-03-05,Dec 2017,0.27,4,2017-03-06,0.19,estimated
"Akebia Therapeutics, Inc.",AKBA,67879e4,2018-03-05,Dec 2017,-0.18,2,2017-03-06,-0.99,estimated
American Vanguard Corporation,AVD,58546e4,2018-03-05,Dec 2017,0.21,3,2017-03-06,0.13,estimated
Analogic Corporation,ALOG,98567e4,2018-03-05,Jan 2018,0.68,1,2017-03-06,0.85,estimated
"Ascena Retail Group, Inc.",ASNA,37052e4,2018-03-05,Jan 2018,-0.09,2,2017-03-06,-0.07,estimated
"Avinger, Inc.",AVGR,NA,2018-03-05,Dec 2017,NA,0,2017-03-06,-23.2,estimated
"Caseys General Stores, Inc.",CASY,432e7,2018-03-05,Jan 2018,0.57,5,2017-03-06,0.58,estimated
Cellectis S.A.,CLLS,1070000000.0000001,2018-03-05,Dec 2017,-0.64,3,2017-03-06,-0.38,estimated
Clarus Corporation,CLAR,22231e4,2018-03-05,Dec 2017,0.17,2,2017-03-06,0.01,estimated
"Concert Pharmaceuticals, Inc.",CNCE,48437e4,2018-03-05,Dec 2017,-0.18,2,2017-03-06,-0.54,estimated
Corcept Therapeutics Incorporated,CORT,189e7,2018-03-05,Dec 2017,0.19,3,2017-03-06,0.04,estimated
"Douglas Dynamics, Inc.",PLOW,86636e4,2018-03-05,Dec 2017,0.5,3,2017-03-06,0.44,estimated
Ducommun Incorporated,DCO,30733e4,2018-03-05,Dec 2017,-0.34,2,2017-03-06,0.45,estimated
"Famous Dave's of America, Inc.",DAVE,4647e4,2018-03-05,Dec 2017,-0.03,1,2017-03-06,-0.1,estimated
"Genesis Healthcare, Inc.",GEN,15328e4,2018-03-05,Dec 2017,-0.31,2,NA,-0.64,estimated
"Global Brass and Copper Holdings, Inc.",BRSS,64069e4,2018-03-05,Dec 2017,0.5,2,2017-03-06,0.4,estimated
Korn/Ferry International,KFY,234e7,2018-03-05,Jan 2018,0.59,4,2017-03-06,0.53,estimated
Lipocine Inc.,LPCN,2734e4,2018-03-05,Dec 2017,-0.25,2,2017-03-06,-0.16,estimated
"Manitex International, Inc.",MNTX,19338e4,2018-03-05,Dec 2017,0.05,2,2017-03-06,0.02,estimated
"Microvision, Inc.",MVIS,9431e4,2018-03-05,Dec 2017,-0.07,2,2017-03-06,-0.09,estimated
Natural Resource Partners LP,NRP,34555e4,2018-03-05,Dec 2017,0.99,2,2017-03-06,0.91,estimated
Novanta Inc.,NOVT,18e8,2018-03-05,Dec 2017,0.41,1,2017-03-06,0.35,estimated
"NTN Buzztime, Inc.",NTN,1469e4,2018-03-05,Dec 2017,-0.14,1,2017-03-06,-0.22,estimated
"Polar Power, Inc.",POLA,4362e4,2018-03-05,Dec 2017,-0.01,1,NA,NA,estimated
"Ra Pharmaceuticals, Inc.",RARX,1482e5,2018-03-05,Dec 2017,-0.72,2,2017-03-06,-0.73,estimated
"Recro Pharma, Inc.",REPH,15455e4,2018-03-05,Dec 2017,-0.78,3,2017-03-06,-0.81,estimated
"RigNet, Inc.",RNET,2588e5,2018-03-05,Dec 2017,-0.15,1,2017-03-06,-0.21,estimated
"Savara, Inc.",SVRA,36021e4,2018-03-05,Dec 2017,-0.23,1,NA,-1.4,estimated
"The Dixie Group, Inc.",DXYN,5246e4,2018-03-05,Dec 2017,0.01,1,2017-03-06,-0.17,estimated
"The Meet Group, Inc.",MEET,18526e4,2018-03-05,Dec 2017,0.08,2,2017-03-06,0.17,estimated
"Thor Industries, Inc.",THO,686e7,2018-03-05,Jan 2018,1.79,3,2017-03-06,1.23,estimated
"TransEnterix, Inc.",TRXC,27695e4,2018-03-05,Dec 2017,-0.06,2,2017-03-06,-0.12,estimated
Western Asset Mortgage Capital Corporation,WMC,37267e4,2018-03-05,Dec 2017,0.3,1,2017-03-06,-0.92,estimated
Woori Bank,WF,968e7,2018-03-05,Dec 2017,NA,0,2017-03-06,0.39,estimated
ABM Industries Incorporated,ABM,23e8,2018-03-06,Jan 2018,0.32,1,2017-03-07,0.38,estimated
"Aemetis, Inc",AMTX,111e5,2018-03-06,Dec 2017,-0.25,1,2017-03-07,-0.17,estimated
"Aerie Pharmaceuticals, Inc.",AERI,217e7,2018-03-06,Dec 2017,-1.47,3,2017-03-07,-0.87,estimated
AeroCentury Corp.,ACY,2019e4,2018-03-06,Dec 2017,0.28,1,2017-03-07,0.55,estimated
"AeroVironment, Inc.",AVAV,115e7,2018-03-06,Jan 2018,0.09,4,2017-03-07,-0.09,estimated
"Alamo Group, Inc.",ALG,13e8,2018-03-06,Dec 2017,0.98,2,2017-03-07,0.81,estimated
"Alliqua BioMedical, Inc.",ALQA,853e4,2018-03-06,Dec 2017,-0.55,1,2017-03-07,-6.1,estimated
Almost Family Inc,AFAM,79687e4,2018-03-06,Dec 2017,0.58,5,2017-03-07,0.59,estimated
"American Renal Associates Holdings, Inc",ARA,57258e4,2018-03-06,Dec 2017,0.15,3,2017-03-07,0.26,estimated
Ares Commercial Real Estate Corporation,ACRE,35023e4,2018-03-06,Dec 2017,0.23,3,2017-03-07,0.28,estimated
"ArQule, Inc.",ARQL,14373e4,2018-03-06,Dec 2017,-0.09,2,2017-03-07,-0.1,estimated
Avadel Pharmaceuticals plc,AVDL,38887e4,2018-03-06,Dec 2017,-0.23,2,2017-03-07,0,estimated
"Axsome Therapeutics, Inc.",AXSM,6746e4,2018-03-06,Dec 2017,NA,0,2017-03-07,-0.38,estimated
"Barrett Business Services, Inc.",BBSI,47277e4,2018-03-06,Dec 2017,NA,0,2017-03-07,1.24,estimated
Baytex Energy Corp,BTE,6263e5,2018-03-06,Dec 2017,-0.13,1,2017-03-07,-0.29,estimated
"Biocept, Inc.",BIOC,2091e4,2018-03-06,Dec 2017,-0.19,1,2017-03-07,-0.27,estimated
"Boingo Wireless, Inc.",WIFI,94645e4,2018-03-06,Dec 2017,-0.11,6,2017-03-07,-0.11,estimated
Brown Forman Corporation,BF.A,1078e7,2018-03-06,Jan 2018,NA,0,2017-03-07,0.47,estimated
Brown Forman Corporation,BF.B,55e8,2018-03-06,Jan 2018,0.51,5,2017-03-07,0.47,estimated
CafePress Inc.,PRSS,2513e4,2018-03-06,Dec 2017,0.01,1,2017-03-07,0.2,estimated
"Calavo Growers, Inc.",CVGW,149e7,2018-03-06,Jan 2018,0.32,1,2017-03-07,0.34,estimated
Cardiome Pharma Corporation,CRME,4987e4,2018-03-06,Dec 2017,-0.18,5,2017-03-07,-0.18,estimated
Cerus Corporation,CERS,47031e4,2018-03-06,Dec 2017,-0.12,2,2017-03-07,-0.13,estimated
"Chembio Diagnostics, Inc.",CEMI,9916e4,2018-03-06,Dec 2017,-0.12,2,2017-03-07,-0.21,estimated
Clean Energy Fuels Corp.,CLNE,22361e4,2018-03-06,Dec 2017,-0.11,2,2017-03-07,-0.03,estimated
"Communications Systems, Inc.",JCS,3166e4,2018-03-06,Dec 2017,NA,0,2017-03-07,-0.21,estimated
"CPI Aerostructures, Inc.",CVU,7266e4,2018-03-06,Dec 2017,0.21,2,2017-03-07,0.24,estimated
DAQO New Energy Corp.,DQ,527320000.00000006,2018-03-06,Dec 2017,1.69,1,2017-03-07,0.54,estimated
Dick's Sporting Goods Inc,DKS,341e7,2018-03-06,Jan 2018,1.2,13,2017-03-07,1.32,estimated
"Editas Medicine, Inc.",EDIT,166e7,2018-03-06,Dec 2017,-0.79,5,2017-03-07,-1.1,estimated
"Ekso Bionics Holdings, Inc.",EKSO,8267e4,2018-03-06,Dec 2017,-0.1,1,2017-03-07,-0.41,estimated
Geopark Ltd,GPRK,59556e4,2018-03-06,Dec 2017,0.34,1,2017-03-07,-0.34,estimated
"H&R Block, Inc.",HRB,538e7,2018-03-06,Jan 2018,-1.19,4,2017-03-07,-0.49,estimated
Horizon Technology Finance Corporation,HRZN,12589e4,2018-03-06,Dec 2017,0.26,3,2017-03-07,0.33,estimated
Immune Design Corp.,IMDZ,17061e4,2018-03-06,Dec 2017,-0.39,4,2017-03-07,-0.57,estimated
"Iovance Biotherapeutics, Inc.",IOVA,151e7,2018-03-06,Dec 2017,-0.32,6,2017-03-07,-0.25,estimated
"John Wiley & Sons, Inc.",JW.A,311e7,2018-03-06,Jan 2018,0.84,1,2017-03-07,0.92,estimated
"Juniper Pharmaceuticals, Inc.",JNP,9109e4,2018-03-06,Dec 2017,-0.16,2,2017-03-07,0.88,estimated
KLX Inc.,KLXI,332e7,2018-03-06,Jan 2018,0.81,2,2017-03-07,0.44,estimated
"Loxo Oncology, Inc.",LOXO,286e7,2018-03-06,Dec 2017,-1.27,4,2017-03-07,-1.28,estimated
Luxfer Holdings PLC,LXFR,36915e4,2018-03-06,Dec 2017,0.25,1,2017-03-07,0.13,estimated
Momo Inc.,MOMO,552e7,2018-03-06,Dec 2017,0.42,1,2017-03-07,0.41,estimated
Monroe Capital Corporation,MRCC,2785e5,2018-03-06,Dec 2017,0.34,4,2017-03-07,0.35,estimated
"Natera, Inc.",NTRA,49252e4,2018-03-06,Dec 2017,-0.43,3,2017-03-07,-0.72,estimated
Navistar International Corporation,NAV,434e7,2018-03-06,Jan 2018,-0.37,8,2017-03-07,-0.76,estimated
"NCI Building Systems, Inc.",NCS,113e7,2018-03-06,Jan 2018,0.09,2,2017-03-07,0.05,estimated
Nuvectra Corporation,NVTR,10253e4,2018-03-06,Dec 2017,-1.15,1,2017-03-07,-1.27,estimated
"Ooma, Inc.",OOMA,19651e4,2018-03-06,Jan 2018,-0.18,3,2017-03-07,-0.16,estimated
Park-Ohio Holdings Corp.,PKOH,52253e4,2018-03-06,Dec 2017,0.81,3,2017-03-07,0.66,estimated
"PetroQuest Energy, Inc.",PQ,3191e4,2018-03-06,Dec 2017,-0.02,4,2017-03-07,-0.46,estimated
PLDT Inc.,PHI,647e7,2018-03-06,Dec 2017,NA,0,2017-03-07,0.6,estimated
"Protagonist Therapeutics, Inc.",PTGX,36618e4,2018-03-06,Dec 2017,-0.36,1,2017-03-07,-0.67,estimated
Red Lion Hotels Corporation,RLH,24335e4,2018-03-06,Dec 2017,-0.18,2,2017-03-07,-0.2,estimated
"Red Rock Resorts, Inc.",RRR,386e7,2018-03-06,Dec 2017,0.26,5,2017-03-07,0.37,estimated
REGENXBIO Inc.,RGNX,81756e4,2018-03-06,Dec 2017,-0.71,2,2017-03-07,-0.74,estimated
"Renewable Energy Group, Inc.",REGI,38444e4,2018-03-06,Dec 2017,-0.01,2,2017-03-07,0.79,estimated
ReShape Lifesciences Inc.,RSLS,4134e4,2018-03-06,Dec 2017,NA,0,2017-03-07,-2.65,estimated
"REV Group, Inc.",REVG,172e7,2018-03-06,Jan 2018,0.08,6,2017-03-07,-0.21,estimated
Rex Energy Corporation,REXX,1252e4,2018-03-06,Dec 2017,-0.78,1,2017-03-07,-0.9,estimated
"Saul Centers, Inc.",BFS,114e7,2018-03-06,Dec 2017,0.78,3,2017-03-07,0.73,estimated
"Team, Inc.",TISI,48909e4,2018-03-06,Dec 2017,-0.04,1,2017-03-07,0.08,estimated
"Teligent, Inc.",TLGT,1634e5,2018-03-06,Dec 2017,-0.12,3,2017-03-07,0,estimated
"The Michaels Companies, Inc.",MIK,468e7,2018-03-06,Jan 2018,1.21,5,2017-03-07,0.96,estimated
The York Water Company,YORW,38838e4,2018-03-06,Dec 2017,NA,0,2017-03-07,0.23,estimated
TransGlobe Energy Corporation,TGA,9892e4,2018-03-06,Dec 2017,-0.05,1,2017-03-07,-0.22,estimated
Transportadora De Gas Sa Ord B,TGS,358e7,2018-03-06,Dec 2017,0.27,1,2017-03-07,0.2,estimated
"Vital Therapies, Inc.",VTL,23214e4,2018-03-06,Dec 2017,-0.3,2,2017-03-07,-0.37,estimated
"Willbros Group, Inc.",WG,64489999.99999999,2018-03-06,Dec 2017,-0.08,1,2017-03-07,-0.19,estimated
ZAGG Inc,ZAGG,43641e4,2018-03-06,Dec 2017,0.73,4,2017-03-07,-0.08,estimated
Acceleron Pharma Inc.,XLRN,189e7,2018-03-07,Dec 2017,-0.6,6,2017-03-01,-0.51,estimated
"Aduro Biotech, Inc.",ADRO,48701e4,2018-03-07,Dec 2017,-0.36,5,2017-03-01,-0.44,estimated
Aegean Marine Petroleum Network Inc.,ANW,19101e4,2018-03-07,Dec 2017,0.03,3,2017-03-01,0.41,estimated
"Aerojet Rocketdyne Holdings, Inc.",AJRD,191e7,2018-03-07,Dec 2017,0.25,3,2017-03-01,0.25,estimated
"Alimera Sciences, Inc.",ALIM,7814e4,2018-03-07,Dec 2017,-0.03,2,2017-03-01,-0.1,estimated
Altisource Residential Corporation,RESI,54998e4,2018-03-07,Dec 2017,-0.59,2,2017-03-01,-0.37,estimated
"American Eagle Outfitters, Inc.",AEO,316e7,2018-03-07,Jan 2018,0.44,10,2017-03-01,0.39,estimated
"Amicus Therapeutics, Inc.",FOLD,282e7,2018-03-07,Dec 2017,-0.3,5,2017-03-01,-0.32,estimated
Avino Silver,ASM,6939e4,2018-03-07,Dec 2017,0.03,2,2017-03-01,0.02,estimated
Bitauto Holdings Limited,BITA,206e7,2018-03-07,Dec 2017,NA,0,2017-03-01,-0.05,estimated
"BMC Stock Holdings, Inc.",BMCH,145e7,2018-03-07,Dec 2017,0.26,4,2017-03-01,0.2,estimated
"Box, Inc.",BOX,281e7,2018-03-07,Jan 2018,-0.25,5,2017-03-01,-0.28,estimated
Broadcom Limited,AVGO,9279e7,2018-03-07,Jan 2018,4.4,5,2017-03-01,3.19,estimated
"Catasys, Inc.",CATS,7166e4,2018-03-07,Dec 2017,-0.09,1,2017-03-01,-0.18,estimated
Compass Diversified Holdings,CODI,98536e4,2018-03-07,Dec 2017,0.44,6,2017-03-01,0.07,estimated
"Condor Hospitality Trust, Inc.",CDOR,11889e4,2018-03-07,Dec 2017,0.2,4,2017-03-01,-0.37,estimated
"Conifer Holdings, Inc.",CNFR,4813e4,2018-03-07,Dec 2017,-0.01,2,2017-03-01,-0.56,estimated
"Core-Mark Holding Company, Inc.",CORE,95478e4,2018-03-07,Dec 2017,0.28,3,NA,0.45,estimated
"CorEnergy Infrastructure Trust, Inc.",CORR,42849e4,2018-03-07,Dec 2017,1.03,3,2017-03-01,0.99,estimated
CPI Card Group Inc.,PMTS,2984e4,2018-03-07,Dec 2017,-0.19,3,2017-03-01,-0.05,estimated
CRH PLC,CRH,2923e7,2018-03-07,Dec 2017,NA,0,NA,NA,estimated
"Crocs, Inc.",CROX,91683e4,2018-03-07,Dec 2017,-0.39,4,2017-03-01,-0.58,estimated
"Dollar Tree, Inc.",DLTR,2515e7,2018-03-07,Jan 2018,1.89,11,2017-03-01,1.39,estimated
"Donaldson Company, Inc.",DCI,614e7,2018-03-07,Jan 2018,0.44,6,2017-03-01,0.35,estimated
"Eagle Pharmaceuticals, Inc.",EGRX,88858e4,2018-03-07,Dec 2017,1.19,2,2017-03-01,3.52,estimated
ENI S.p.A.,E,6184e7,2018-03-07,Dec 2017,0.44,1,2017-03-01,0.26,estimated
EP Energy Corporation,EPE,46013e4,2018-03-07,Dec 2017,-0.11,8,2017-03-01,0.12,estimated
Ferro Corporation,FOE,181e7,2018-03-07,Dec 2017,0.28,5,2017-03-01,0.27,estimated
"FibroGen, Inc",FGEN,443e7,2018-03-07,Dec 2017,-0.28,4,2017-03-01,-0.54,estimated
Foresight Energy LP,FELP,58466e4,2018-03-07,Dec 2017,-0.07,2,2017-03-01,-0.37,estimated
Forestar Group Inc,FOR,103e7,2018-03-07,Dec 2017,0.12,1,2017-03-01,0.27,estimated
Fox Factory Holding Corp.,FOXF,138e7,2018-03-07,Dec 2017,0.33,6,2017-03-01,0.32,estimated
FS Investment Corporation,FSIC,184e7,2018-03-07,Dec 2017,0.19,3,2017-03-01,0.23,estimated
Genco Shipping & Trading Limited,GNK,43165e4,2018-03-07,Dec 2017,-0.03,5,2017-03-01,-3.35,estimated
Geron Corporation,GERN,41082e4,2018-03-07,Dec 2017,-0.04,2,2017-03-01,-0.05,estimated
Getty Realty Corporation,GTY,92449e4,2018-03-07,Dec 2017,0.45,3,2017-03-01,0.43,estimated
"GlycoMimetics, Inc.",GLYC,81758e4,2018-03-07,Dec 2017,-0.26,5,2017-03-01,-0.36,estimated
Gran Tierra Energy Inc.,GTE,99379e4,2018-03-07,Dec 2017,0.06,2,2017-03-01,0.04,estimated
Great Ajax Corp.,AJX,2329e5,2018-03-07,Dec 2017,0.42,3,2017-03-01,0.35,estimated
Greif Bros. Corporation,GEF,327e7,2018-03-07,Jan 2018,0.68,5,2017-03-01,0.45,estimated
"Health Insurance Innovations, Inc.",HIIQ,39123e4,2018-03-07,Dec 2017,0.28,2,2017-03-01,0.35,estimated
Herc Holdings Inc.,HRI,177e7,2018-03-07,Dec 2017,0.43,2,2017-03-01,-0.08,estimated
"Heritage-Crystal Clean, Inc.",HCCI,47018e4,2018-03-07,Dec 2017,0.21,5,2017-03-01,0.2,estimated
Hilton Grand Vacations Inc.,HGV,44e8,2018-03-07,Dec 2017,0.51,3,2017-03-01,0.38,estimated
Hospitality Properties Trust,HPT,444e7,2018-03-07,Dec 2017,0.52,6,2017-03-01,0.57,estimated
"Hudson Technologies, Inc.",HDSN,24929e4,2018-03-07,Dec 2017,-0.09,3,2017-03-01,-0.05,estimated
Intra-Cellular Therapies Inc.,ITCI,89453e4,2018-03-07,Dec 2017,-0.51,4,2017-03-01,-0.64,estimated
Intrexon Corporation,XON,175e7,2018-03-07,Dec 2017,-0.31,5,2017-03-01,-0.26,estimated
"Juno Therapeutics, Inc.",JUNO,991e7,2018-03-07,Dec 2017,-1.02,5,2017-03-01,-0.66,estimated
"Kindred Biosciences, Inc.",KIN,22808e4,2018-03-07,Dec 2017,-0.33,2,2017-03-01,-0.29,estimated
