symbol,name,last_sale,market_cap,ipo_year,sector,industry,summary_quote,exchange
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.15,3599e4,1999,NA,NA,http://www.nasdaq.com/symbol/mmv,AMEX
MIW,Eaton Vance Michigan Municipal Bond Fund,13.56,2034e4,2002,NA,NA,http://www.nasdaq.com/symbol/miw,AMEX
EMI,Eaton Vance Michigan Municipal Income Trust,12.962,2609e4,1999,NA,NA,http://www.nasdaq.com/symbol/emi,AMEX
EIM,Eaton Vance Municipal Bond Fund,12.5,8521e5,2002,NA,NA,http://www.nasdaq.com/symbol/eim,AMEX
EIV,Eaton Vance Municipal Bond Fund II,12.2003,12217e4,2002,NA,NA,http://www.nasdaq.com/symbol/eiv,AMEX
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.54,32340000.000000004,2002,NA,NA,http://www.nasdaq.com/symbol/emj,AMEX
EVJ,Eaton Vance New Jersey Municipal Income Trust,11.78,5417e4,1999,NA,NA,http://www.nasdaq.com/symbol/evj,AMEX
ENX,Eaton Vance New York Municipal Bond Fund,12.23,19154e4,2002,NA,NA,http://www.nasdaq.com/symbol/enx,AMEX
NYH,Eaton Vance New York Municipal Bond Fund II,11.52,2945e4,2002,NA,NA,http://www.nasdaq.com/symbol/nyh,AMEX
EVY,Eaton Vance New York Municipal Income Trust,12.6501,6927e4,1999,NA,NA,http://www.nasdaq.com/symbol/evy,AMEX
EIO,Eaton Vance Ohio Municipal Bond Fund,12.94,32840000.000000004,2002,NA,NA,http://www.nasdaq.com/symbol/eio,AMEX
EVO,Eaton Vance Ohio Municipal Income Trust,13.37,382e5,1999,NA,NA,http://www.nasdaq.com/symbol/evo,AMEX
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.502,3701e4,2002,NA,NA,http://www.nasdaq.com/symbol/eip,AMEX
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.18,3168e4,1999,NA,NA,http://www.nasdaq.com/symbol/evp,AMEX
ELMD,"Electromed, Inc.",5.75,475e5,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd,AMEX
ELLO,Ellomay Capital Ltd.,9.1,9716e4,NA,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello,AMEX
ECF,Ellsworth Growth and Income Fund Ltd.,9.3,11975e4,1986,NA,NA,http://www.nasdaq.com/symbol/ecf,AMEX
ECF^A,Ellsworth Growth and Income Fund Ltd.,25.1,NA,NA,NA,NA,http://www.nasdaq.com/symbol/ecf^a,AMEX
EMAN,eMagin Corporation,1.7,5945e4,NA,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman,AMEX
MSN,Emerson Radio Corporation,1.5,3673e4,NA,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn,AMEX
EMX,EMX Royalty Corporation,0.74,59e6,NA,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emx,AMEX
UUUU,Energy Fuels Inc,1.86,13397e4,NA,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu,AMEX
UUUU.WS,Energy Fuels Inc,NA,NA,NA,NA,NA,http://www.nasdaq.com/symbol/uuuu.ws,AMEX
ENRJ,"EnerJex Resources, Inc.",0.2311,353e4,NA,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj,AMEX
ENSV,ENSERVCO Corporation,0.635,325e5,NA,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv,AMEX
